id,question,gold_answer,answer,correctness,hallucination,abstention
13,What is the F1 score?,"The F1 score is the harmonic mean of precision and recall, providing a single metric that balances both.","The F1 score is a single metric that balances **precision** (the proportion of predicted positives that are correct) and **recall** (the proportion of actual positives that are correctly identified). It is defined as the harmonic mean of precision and recall:

\[
F1 = 2 \times \frac{\text{precision} \times \text{recall}}{\text{precision} + \text{recall}}.
\]

A higher F1 indicates a better trade‑off between precision and recall, making it especially useful when the class distribution is imbalanced or when both false positives and false negatives are costly.",correct,no,no
14,What is ROC AUC?,ROC AUC is the area under the Receiver Operating Characteristic curve; it quantifies a classifier's ability to discriminate between classes across all thresholds.,"ROC AUC (Receiver Operating Characteristic Area Under the Curve) measures a binary classifier’s ability to discriminate between positive and negative classes across all possible decision thresholds. It plots the true positive rate (sensitivity) against the false positive rate (1‑specificity) and computes the area under this curve. An AUC of 1.0 indicates perfect discrimination, 0.5 indicates random guessing, and values below 0.5 suggest the model is worse than random. It is threshold‑independent, making it useful for comparing models when the operating point is not fixed.",correct,no,no
15,What is cross-validation?,Cross-validation is a method for estimating model performance by splitting the data into multiple train/test folds and averaging results to reduce evaluation variance.,"Cross‑validation is a statistical technique used to assess how well a predictive model will generalize to an independent dataset. It works by partitioning the available data into complementary subsets, training the model on some subsets (the training set) and validating it on the remaining ones (the validation set). The most common form, k‑fold cross‑validation, repeats this process k times, each time using a different fold as the validation set, and averages the performance metrics. This approach helps detect overfitting, estimate model performance more reliably, and guide hyper‑parameter tuning.",partial,no,no
16,What is k-fold cross-validation?,"K-fold cross-validation splits data into k equal parts, trains the model k times each time holding out one part for validation, and averages the metrics.","K‑fold cross‑validation is a model evaluation technique that splits a dataset into *k* roughly equal parts (folds). The model is trained *k* times, each time using *k‑1* folds for training and the remaining fold for validation. This process yields *k* performance estimates, which are averaged to give a more robust estimate of how the model will generalize. It helps mitigate overfitting and provides a better use of limited data compared to a single train/test split.",partial,no,no
17,What is gradient descent?,Gradient descent is an iterative optimization algorithm that updates model parameters in the direction of the negative gradient of the loss to minimize it.,"Gradient descent is an iterative optimization algorithm used to find the minimum of a function, typically a loss function in machine learning. Starting from an initial point, it repeatedly moves in the direction opposite to the gradient (the vector of partial derivatives) because this direction points most steeply downhill. The step size, called the learning rate, controls how far the algorithm moves each iteration. By updating parameters in this way, gradient descent gradually reduces the loss until convergence or a stopping criterion is met.",correct,no,no
18,What is learning rate?,"The learning rate is a hyperparameter that controls the step size at each iteration of gradient descent, affecting convergence speed and stability.","The learning rate is a hyperparameter that controls how much the model’s weights are updated during training. In gradient‑based optimization (e.g., stochastic gradient descent), it scales the gradient: a larger rate makes larger steps, while a smaller rate makes finer adjustments. If it’s too high, the training can diverge or oscillate; if it’s too low, convergence becomes very slow. Choosing an appropriate learning rate (sometimes with schedules or adaptive methods) is crucial for efficient and stable training.",partial,no,no
19,What's the difference between batch and stochastic gradient descent?,Batch gradient descent uses the full training set to compute gradients each update; stochastic gradient descent uses one sample per update; mini-batch uses small subsets.,"Batch gradient descent computes the gradient over the entire training set before updating the parameters, so each update is deterministic and uses a lot of memory and computation per step. Stochastic gradient descent (SGD) updates the parameters after evaluating the gradient on a single training example, making each step very cheap but noisy. Because of this noise, SGD can escape shallow local minima and often converges faster in practice, though it may oscillate around the optimum. In contrast, batch GD provides a smooth, stable convergence path but can be prohibitively slow for large datasets.",partial,no,no
20,What is the difference between L1 and L2 regularization?,L1 regularization adds an absolute-value penalty encouraging sparsity (zero weights); L2 adds a squared penalty encouraging small weights but not sparsity.,"L1 regularization (lasso) adds the absolute value of the coefficients to the loss, encouraging many weights to become exactly zero and thus performing feature selection. L2 regularization (ridge) adds the squared magnitude of the coefficients, shrinking them toward zero but rarely making them exactly zero, which mainly reduces variance. Consequently, L1 yields sparse models useful for interpretability, while L2 yields smoother, more stable models that keep all features. Both penalize large weights but differ in the geometry of the constraint set: L1 forms a diamond shape, L2 a circle.",incorrect,yes,no
21,What is Principal Component Analysis (PCA)?,PCA is a dimensionality reduction technique that finds orthogonal directions (principal components) of maximum variance and projects data onto them.,"Principal Component Analysis (PCA) is a dimensionality‑reduction technique that transforms a set of possibly correlated variables into a smaller set of uncorrelated variables called principal components. It does this by finding the directions (eigenvectors) of maximum variance in the data and projecting the data onto these directions. The first principal component captures the largest variance, the second captures the next largest variance orthogonal to the first, and so on. PCA is widely used for noise reduction, visualization, and as a preprocessing step before other machine‑learning algorithms.",partial,no,no
22,What is K-means clustering?,K-means clustering partitions data into K clusters by iteratively assigning points to the nearest centroid and updating centroids to minimize within-cluster variance.,"K‑means clustering is an unsupervised learning algorithm that partitions a dataset into k distinct, non‑overlapping groups (clusters). It starts with k initial centroids, then iteratively assigns each data point to the nearest centroid and recomputes centroids as the mean of assigned points until assignments stabilize. The goal is to minimize the sum of squared distances between points and their cluster centroids, producing compact, well‑separated clusters. It is widely used for exploratory data analysis, image compression, and as a preprocessing step for other algorithms.",partial,no,no
23,What is ensemble learning?,"Ensemble learning combines multiple models (e.g., bagging, boosting) to improve overall predictive performance and reduce variance or bias.","Ensemble learning is a machine‑learning technique that builds a stronger predictive model by combining several weaker models. The idea is that different models capture different patterns or errors, so their aggregated output—through voting, averaging, or weighted combination—reduces variance, bias, or both. Common ensemble methods include bagging (e.g., Random Forests), boosting (e.g., AdaBoost, XGBoost), and stacking, each using a distinct strategy for training and combining base learners. The resulting ensemble often outperforms any single constituent model on the same task.",partial,no,no
24,What is dropout in neural networks?,Dropout is a regularization technique that randomly disables a fraction of neurons during training to prevent co-adaptation and reduce overfitting.,"Dropout is a regularization method for neural networks that randomly “drops” (sets to zero) a subset of neurons during each training iteration. By temporarily removing these units, the network is forced to learn redundant representations, reducing over‑fitting to the training data. During inference, all neurons are used but their outputs are scaled by the dropout probability to match the expected activation. Dropout is typically applied to fully connected layers, but can also be used in convolutional layers with variations such as spatial dropout.",partial,no,no
25,What is feature engineering?,"Feature engineering is the process of creating, transforming, and selecting input features to improve a model's ability to learn useful patterns.","Feature engineering is the process of transforming raw data into meaningful input variables (features) that improve a machine learning model’s performance. It involves selecting, creating, and scaling features through techniques such as encoding categorical variables, normalizing numeric values, extracting date components, or constructing interaction terms. Good feature engineering can reduce model complexity, enhance interpretability, and often yields better predictive accuracy than relying solely on raw data. It is typically an iterative, domain‑knowledge‑driven step that precedes model training.",partial,no,no
26,What is an activation function?,"An activation function introduces non-linearity into neural networks; common examples are ReLU, sigmoid, and tanh.","An activation function is a mathematical operation applied to a neuron’s weighted sum of inputs in a neural network. It introduces non‑linearity, allowing the network to learn complex patterns that linear models cannot capture. Common examples include ReLU (max(0, x)), sigmoid (1/(1+e⁻ˣ)), and tanh (tanh x). The function also helps control the output range and can influence training dynamics through its derivative. In short, it determines whether and how strongly a neuron fires.",partial,no,no
27,What is ReLU?,"ReLU (Rectified Linear Unit) outputs max(0, x), promoting sparse activations and helping mitigate vanishing gradients.","ReLU, or Rectified Linear Unit, is a popular activation function used in neural networks. It outputs the input directly if it is positive, and zero otherwise: \(f(x)=\max(0,x)\). This simple non‑linear form helps mitigate the vanishing‑gradient problem, speeds up training, and encourages sparse activations. ReLU is computationally cheap and works well in deep architectures, though it can suffer from “dying ReLU” where neurons output zero for all inputs.",partial,no,no
28,What is softmax?,Softmax converts logits into a probability distribution over classes by exponentiating and normalizing outputs.,"Softmax is a mathematical function that converts a vector of real‑valued scores into a probability distribution over classes. For an input vector \(z = (z_1,\dots ,z_K)\), it outputs  

\[
\text{softmax}(z)_i = \frac{e^{z_i}}{\sum_{j=1}^K e^{z_j}},
\]

ensuring each component is between 0 and 1 and the components sum to 1. It is widely used as the final layer in multi‑class neural network classifiers, allowing the network to predict class probabilities. For numerical stability, the input is often shifted by subtracting the maximum \(z\) value before exponentiation.",incorrect,yes,no
29,What is cross-entropy loss?,Cross-entropy loss measures the difference between predicted probability distributions and true distributions; it's commonly used for classification.,"Cross‑entropy loss measures the difference between two probability distributions: the true labels and the model’s predicted probabilities. For a single sample with true class \(y\) and predicted probability vector \(\hat{p}\), it is  
\[
L = -\sum_{i} y_i \log(\hat{p}_i),
\]  
where \(y_i\) is 1 for the correct class and 0 otherwise. In binary classification this reduces to \(-[y\log(\hat{p})+(1-y)\log(1-\hat{p})]\). The loss is minimized when the predicted distribution matches the true distribution, making it the standard objective for training classifiers.",correct,no,no
30,What is batch normalization?,Batch normalization standardizes layer inputs across the mini-batch to stabilize and accelerate training.,"Batch normalization is a technique that normalizes the inputs of each layer in a neural network to have zero mean and unit variance across a mini‑batch. It does this by computing the batch mean and variance, then scaling and shifting the activations with learnable parameters γ (scale) and β (shift). This stabilizes and speeds up training by reducing internal covariate shift, allowing higher learning rates and less sensitivity to initialization. It is typically applied after the linear transformation and before the non‑linear activation in each layer.",partial,no,no
31,What is data augmentation?,"Data augmentation creates modified versions of training examples (e.g., rotations, flips) to increase dataset diversity and reduce overfitting.","Data augmentation is a technique used in machine learning to artificially increase the size and diversity of a training dataset by applying label‑preserving transformations to existing data. Common methods include rotating, flipping, scaling, cropping, adding noise, or altering color channels for images, and time‑shifting or pitch‑changing for audio. By exposing a model to many varied versions of the same underlying samples, augmentation helps reduce overfitting, improves generalization, and can make training more robust to real‑world variations. It is especially valuable when labeled data are scarce or expensive to collect.",partial,no,no
32,What is transfer learning?,"Transfer learning reuses a model pretrained on one task as a starting point for another related task, often improving performance with less data.","Transfer learning is a machine‑learning technique where a model trained on one task (the source task) is reused as a starting point for a different but related task (the target task). Instead of training from scratch, the pre‑trained model’s weights are retained and fine‑tuned on the new data, often with fewer labeled examples. This approach speeds up training, improves performance on limited data, and can transfer useful feature representations across domains. It is widely used in computer vision, NLP, and speech recognition, where large datasets like ImageNet or BERT provide strong initial representations.",partial,no,no
33,What is fine-tuning?,"Fine-tuning updates a pretrained model's weights on a new dataset, typically with a smaller learning rate to adapt to the new task.","Fine‑tuning is the process of taking a pre‑trained model and continuing its training on a new, usually smaller, dataset that is specific to a particular task or domain. During fine‑tuning, the model’s weights are adjusted slightly from their pre‑trained values, allowing it to adapt to the new data while retaining the general knowledge it learned earlier. This approach saves time and computational resources compared to training from scratch, and often yields better performance when the new dataset is limited. Fine‑tuning typically involves a lower learning rate and may freeze some early layers to preserve foundational features.",correct,no,no
34,What is early stopping?,Early stopping halts training when validation performance stops improving to prevent overfitting.,"Early stopping is a regularization technique used during training of machine learning models, especially neural networks, to prevent over‑fitting. It monitors a performance metric (commonly validation loss) on a held‑out set and halts training when that metric stops improving for a predefined number of epochs, called *patience*. By stopping before the model begins to fit noise in the training data, early stopping often yields a model that generalizes better to unseen data.",partial,no,no
35,What is hyperparameter tuning?,"Hyperparameter tuning searches for the best set of model configuration parameters (e.g., learning rate, batch size) often using grid search or Bayesian optimization.","Hyperparameter tuning is the process of selecting the best configuration of a machine‑learning model’s external settings—such as learning rate, number of trees, or regularization strength—before training. These hyperparameters are not learned from data; instead, they control how the learning algorithm behaves. Common tuning methods include grid search, random search, and Bayesian optimization, which systematically evaluate different combinations to maximize validation performance. The goal is to improve generalization while avoiding overfitting or underfitting.",partial,no,no
36,What is model calibration?,Model calibration assesses and adjusts the alignment between predicted probabilities and observed outcome frequencies.,"Model calibration is the process of adjusting a predictive model so that its output probabilities reflect true outcome frequencies. In a well‑calibrated classifier, a prediction of 0.8 probability for a positive class should occur in about 80 % of cases. Calibration is often evaluated with reliability diagrams or the Brier score, and corrected using techniques such as Platt scaling, isotonic regression, or temperature scaling. Poor calibration can lead to over‑ or under‑confident decisions, especially in risk‑sensitive applications.",incorrect,yes,no
37,What is a confusion matrix?,"A confusion matrix tabulates true vs predicted class counts (TP, FP, TN, FN) to analyze classifier performance.","A confusion matrix is a tabular summary used to evaluate the performance of a classification model. It lists the counts of predictions versus actual labels, typically arranged with predicted classes as columns and true classes as rows. The four key entries are true positives, false positives, true negatives, and false negatives, which allow calculation of metrics such as accuracy, precision, recall, and F1‑score. By inspecting the matrix, you can see where the model is misclassifying and assess its strengths and weaknesses across classes.",incorrect,yes,no
38,What is a precision-recall curve?,"A precision-recall curve shows precision vs recall across thresholds, useful for evaluating models on imbalanced datasets.","A precision‑recall curve plots the trade‑off between precision (the proportion of predicted positives that are true positives) and recall (the proportion of actual positives that are correctly identified) as the decision threshold of a classifier is varied. The x‑axis shows recall from 0 to 1, while the y‑axis shows precision from 0 to 1. It is especially useful for imbalanced datasets where the ROC curve can be overly optimistic, because it focuses on the performance for the minority class. The area under the precision‑recall curve (AUPRC) is often used as a single‑number summary of model quality.",incorrect,yes,no
39,What is class imbalance and how to handle it?,"Class imbalance occurs when some classes are much less frequent; handle with resampling, class weighting, or synthetic data generation like SMOTE.","Class imbalance occurs when the classes in a classification dataset are not represented equally, e.g., 95 % of samples belong to one class and only 5 % to another. It can bias learning algorithms toward the majority class, leading to poor minority‑class performance. Common remedies include resampling (oversample the minority class with SMOTE or duplicate samples, or undersample the majority class), using class‑weighting or cost‑sensitive learning, and employing algorithms robust to imbalance such as ensemble methods (e.g., BalancedBagging, AdaBoost with class weights). Additionally, evaluating with metrics that reflect imbalance—precision‑recall curves, F1‑score, or area under the precision‑recall curve—helps gauge true performance.",partial,no,no
40,What is SMOTE?,SMOTE (Synthetic Minority Over-sampling Technique) generates synthetic examples of the minority class by interpolating between minority samples and their neighbors.,"SMOTE (Synthetic Minority Over‑Sampling Technique) is a data‑augmentation method used to balance imbalanced classification datasets. It creates synthetic examples of the minority class by selecting a minority instance, finding its k nearest minority neighbors, and interpolating new points along the line segments that connect them. This increases the minority class size without simply duplicating existing records, helping classifiers learn more robust decision boundaries. The technique is widely used in fields such as fraud detection, medical diagnosis, and any domain where minority classes are under‑represented.",correct,no,no
41,What is feature selection?,Feature selection identifies the most relevant input features to improve model performance and reduce complexity.,"Feature selection is the process of identifying and retaining the most informative variables (features) from a dataset while discarding irrelevant or redundant ones. It reduces dimensionality, improves model interpretability, speeds up training, and can enhance predictive performance by mitigating overfitting. Common techniques include filter methods (e.g., correlation, mutual information), wrapper methods (e.g., recursive feature elimination), and embedded methods (e.g., L1‑regularized models). By selecting a subset of features, models become simpler, faster, and often more robust to noise.",partial,no,no
42,What is PCA used for?,PCA reduces dimensionality by projecting data onto principal components that capture maximum variance.,"Principal Component Analysis (PCA) is a statistical technique used to reduce the dimensionality of large datasets while preserving as much variance as possible. It transforms the original variables into a new set of orthogonal components (principal components) ordered by the amount of variance they explain. PCA is commonly applied for noise reduction, data compression, and improving the efficiency of downstream machine‑learning algorithms. It also aids in visualizing high‑dimensional data by projecting it onto two or three principal components for exploratory analysis.",partial,no,no
43,What is an ROC curve?,An ROC curve plots true positive rate vs false positive rate across thresholds to evaluate classifier discrimination.,"An ROC (Receiver Operating Characteristic) curve plots a classifier’s performance across all possible decision thresholds. It graphs the true positive rate (sensitivity) on the y‑axis against the false positive rate (1 – specificity) on the x‑axis. Each point on the curve corresponds to a different threshold, showing how the trade‑off between catching positives and avoiding false alarms changes. The area under the ROC curve (AUC) summarizes overall discriminative ability: 1.0 is perfect, 0.5 is random guessing. The ROC is especially useful when class distributions are imbalanced.",partial,no,no
44,What is A/B testing in ML?,A/B testing compares two models or feature variants in production by randomizing user traffic and measuring key metrics to determine which performs better.,"A/B testing in machine learning is a controlled experiment where two or more variants—such as different models, feature sets, or preprocessing pipelines—are run in parallel on the same data or user population. Each variant receives a random portion of the traffic or data, and key metrics (accuracy, precision, latency, revenue, etc.) are collected. By statistically comparing these metrics, you can determine whether one variant outperforms the others and make evidence‑based decisions about model deployment or feature changes. It’s essentially the ML equivalent of a randomized controlled trial, ensuring that improvements are real and not due to chance.",partial,no,no
45,What is explainability?,"Explainability provides human-understandable reasons for model predictions using methods like feature importance, LIME, or SHAP.","Explainability in machine learning refers to the ability to understand and interpret how a model arrives at its predictions or decisions. It involves revealing which inputs or features most influence the output, and why certain patterns are recognized. Explainable models help build trust, satisfy regulatory requirements, and enable debugging or improvement of the system. Techniques include interpretable model choices (e.g., linear models, decision trees), post‑hoc explanations (e.g., SHAP, LIME), and visualizations of internal representations.",incorrect,yes,no
46,What is SHAP?,SHAP assigns feature attributions based on game-theoretic Shapley values to explain individual predictions.,"SHAP (SHapley Additive exPlanations) is a unified framework for interpreting machine‑learning predictions based on cooperative game theory. It assigns each feature a Shapley value, which represents that feature’s contribution to the difference between the model’s output for a specific instance and the average output over all instances. Because SHAP values are additive, they can be summed to recover the exact prediction, making the method both locally accurate and globally consistent. SHAP is model‑agnostic (though efficient implementations exist for tree‑based models) and is widely used for visualizing feature importance, detecting bias, and debugging models.",incorrect,yes,no
47,What is LIME?,LIME explains individual predictions by fitting local interpretable models around the instance to approximate the complex model's behavior.,"LIME (Local Interpretable Model‑agnostic Explanations) is a post‑hoc interpretability method that explains individual predictions of any black‑box model. It perturbs the input data around a specific instance, records the model’s predictions on these perturbed samples, and then fits a simple, interpretable surrogate model (e.g., linear regression or decision tree) to approximate the black‑box behavior locally. The surrogate’s coefficients or structure reveal which features most influence that particular prediction. LIME is model‑agnostic, works with tabular, text, and image data, and is widely used to provide human‑readable explanations for complex machine‑learning systems.",partial,no,no
48,What is a learning curve?,A learning curve plots model performance versus training set size to diagnose underfitting or overfitting and estimate benefits from more data.,"A learning curve is a visual representation of how quickly someone or a system acquires new skills or knowledge over time. It typically plots performance (e.g., accuracy, speed, error rate) on the vertical axis against experience or time on the horizontal axis. The curve often shows rapid improvement early on that slows as proficiency approaches a plateau. In machine learning, a learning curve can also refer to training vs. validation performance plotted against training set size or epochs to diagnose under‑ or over‑fitting.",partial,no,no
49,What is ensemble voting?,Voting ensembles combine multiple model predictions by majority vote (hard) or averaging probabilities (soft) to improve robustness.,"Ensemble voting is a technique in which multiple predictive models (the ensemble) are combined by letting each model “vote” on the final prediction.  
In **majority voting**, each model casts a single vote for a class and the class with the most votes wins.  
**Weighted voting** assigns different importance to each model’s vote, often based on past accuracy or confidence.  
The goal is to reduce variance and bias, improving overall accuracy compared to any single model.",incorrect,yes,no
50,What is causality vs correlation?,Correlation measures statistical association; causality indicates that a change in one variable produces a change in another and requires causal inference or controlled experiments.,"Correlation means two variables tend to vary together, but it does not imply that one causes the other. Causality (or causal inference) asserts that a change in one variable directly produces a change in another, often supported by controlled experiments or strong theoretical justification. For example, ice cream sales and drowning incidents are correlated, yet buying ice cream does not cause drowning; the underlying cause is warm weather. In contrast, smoking causes lung cancer because the act of smoking introduces carcinogens that damage lung tissue. Thus, correlation is a statistical relationship, while causality is a directional, mechanistic link.",partial,no,no
