id,question,gold_answer,answer
21,What is Principal Component Analysis (PCA)?,PCA is a dimensionality reduction technique that finds orthogonal directions (principal components) of maximum variance and projects data onto them.,"Principal Component Analysis (PCA) is a dimensionality‑reduction technique that transforms a set of possibly correlated variables into a smaller set of uncorrelated variables called principal components. It does this by finding the directions (eigenvectors) of maximum variance in the data and projecting the data onto these directions. The first principal component captures the largest variance, the second captures the next largest variance orthogonal to the first, and so on. PCA is widely used for noise reduction, visualization, and as a preprocessing step before applying other machine‑learning algorithms."
22,What is K-means clustering?,K-means clustering partitions data into K clusters by iteratively assigning points to the nearest centroid and updating centroids to minimize within-cluster variance.,"K‑means clustering is an unsupervised learning algorithm that partitions a dataset into k distinct, non‑overlapping groups (clusters). It starts with k initial centroids, then iteratively assigns each data point to the nearest centroid and recomputes centroids as the mean of assigned points until assignments stabilize. The goal is to minimize the sum of squared distances between points and their cluster centroids, producing compact, well‑separated clusters. It is widely used for exploratory data analysis, image compression, and as a preprocessing step for other algorithms."
23,What is ensemble learning?,"Ensemble learning combines multiple models (e.g., bagging, boosting) to improve overall predictive performance and reduce variance or bias.","Ensemble learning is a machine‑learning technique that builds a set of base models and combines their predictions to produce a final output. By aggregating diverse models—often trained on different data subsets or using different algorithms—ensembles reduce overfitting and improve generalization. Common methods include bagging (e.g., Random Forests), boosting (e.g., AdaBoost, XGBoost), and stacking, each leveraging different ways to weight or combine predictions. The goal is to achieve higher accuracy, stability, or robustness than any single model could provide."
24,What is dropout in neural networks?,Dropout is a regularization technique that randomly disables a fraction of neurons during training to prevent co-adaptation and reduce overfitting.,"Dropout is a regularization method for neural networks that randomly “drops” (sets to zero) a subset of neurons during each training iteration. By temporarily removing these units, the network is forced to learn redundant representations, reducing over‑fitting to the training data. During inference, all neurons are used but their outputs are scaled by the dropout probability to match the expected activation. Dropout is simple to implement and works well with many architectures, especially deep feed‑forward and convolutional networks."
25,What is feature engineering?,"Feature engineering is the process of creating, transforming, and selecting input features to improve a model's ability to learn useful patterns.","Feature engineering is the process of transforming raw data into meaningful input variables (features) that improve a machine‑learning model’s performance. It involves selecting, creating, and scaling attributes that capture underlying patterns, such as extracting dates into month or weekday, normalizing numeric values, or encoding categorical variables. Engineers often use domain knowledge, statistical tests, or automated techniques (e.g., polynomial features, embeddings) to generate features that enhance predictive power. Good feature engineering can reduce model complexity, speed up training, and increase accuracy, while poor choices may lead to overfitting or under‑performance."
26,What is an activation function?,"An activation function introduces non-linearity into neural networks; common examples are ReLU, sigmoid, and tanh.","An activation function is a mathematical operation applied to a neuron’s weighted sum of inputs in a neural network. It introduces non‑linearity, allowing the network to learn complex patterns that linear models cannot capture. Common examples include ReLU (max(0, x)), sigmoid (1/(1+e⁻ˣ)), and tanh (tanh x). The choice of activation can affect training speed, convergence, and the ability to model certain types of data."
27,What is ReLU?,"ReLU (Rectified Linear Unit) outputs max(0, x), promoting sparse activations and helping mitigate vanishing gradients.","ReLU, or Rectified Linear Unit, is a popular activation function used in neural networks. It outputs the input directly if it is positive, and zero otherwise: \(f(x)=\max(0,x)\). This simple non‑linear mapping helps mitigate the vanishing‑gradient problem and speeds up training. ReLU is computationally cheap and encourages sparse activations, but can suffer from “dying ReLU” where neurons output zero for all inputs."
28,What is softmax?,Softmax converts logits into a probability distribution over classes by exponentiating and normalizing outputs.,"Softmax is a mathematical function that converts a vector of real‑valued scores into a probability distribution over classes. For an input vector \(z = (z_1,\dots ,z_K)\), it outputs  

\[
\text{softmax}(z)_i = \frac{e^{z_i}}{\sum_{j=1}^K e^{z_j}},
\]

ensuring each component is between 0 and 1 and the components sum to 1. It is widely used as the final layer in multi‑class neural network classifiers, allowing the network to predict class probabilities. For numerical stability, the input is often shifted by subtracting the maximum \(z\) value before exponentiation."
29,What is cross-entropy loss?,Cross-entropy loss measures the difference between predicted probability distributions and true distributions; it's commonly used for classification.,"Cross‑entropy loss measures the dissimilarity between two probability distributions: the true labels and the model’s predicted probabilities. For a single sample with true class \(y\) and predicted probability \(p\), the binary cross‑entropy is \(-[y\log p + (1-y)\log(1-p)]\); for multi‑class problems it generalises to \(-\sum_{c} y_c \log p_c\). It is the negative log‑likelihood of the correct class, so minimizing it encourages the model to assign high probability to the true label. Cross‑entropy is the standard loss for classification tasks because it penalises confident wrong predictions heavily."
30,What is batch normalization?,Batch normalization standardizes layer inputs across the mini-batch to stabilize and accelerate training.,"Batch normalization is a technique that normalizes the inputs of each layer in a neural network to have zero mean and unit variance across a mini‑batch. It adds learnable scaling and shifting parameters so the network can recover the original distribution if needed. By reducing internal covariate shift, it stabilizes and speeds up training, often allowing higher learning rates and less sensitivity to initialization. It is applied during training and uses running statistics for inference."
31,What is data augmentation?,"Data augmentation creates modified versions of training examples (e.g., rotations, flips) to increase dataset diversity and reduce overfitting.","Data augmentation is a technique used in machine learning to artificially increase the size and diversity of a training dataset by applying label‑preserving transformations to existing data. Common methods include rotating, flipping, scaling, cropping, adding noise, or altering color channels for images, and time‑shifting or pitch‑changing for audio. By exposing a model to many varied versions of the same underlying examples, augmentation helps reduce overfitting, improve generalization, and make the model more robust to real‑world variations. It is especially valuable when labeled data are scarce or expensive to collect."
32,What is transfer learning?,"Transfer learning reuses a model pretrained on one task as a starting point for another related task, often improving performance with less data.","Transfer learning is a machine‑learning technique where a model trained on one task (the source task) is repurposed for a different but related task (the target task). Instead of training from scratch, the model’s learned weights—especially in early layers—are reused, often fine‑tuned on a smaller dataset for the new task. This approach speeds up training, reduces data requirements, and can improve performance when the target data is limited. It’s commonly used in computer vision, natural language processing, and other domains where large pre‑trained models exist."
33,What is fine-tuning?,"Fine-tuning updates a pretrained model's weights on a new dataset, typically with a smaller learning rate to adapt to the new task.","Fine‑tuning is the process of taking a pre‑trained model and continuing its training on a new, usually smaller, dataset that is specific to a target task. During fine‑tuning, the model’s weights are updated slightly, allowing it to adapt its learned representations to the new domain while retaining the general knowledge it gained during initial training. This approach is efficient because it requires fewer data and less compute than training from scratch. Fine‑tuning is widely used in NLP, computer vision, and other fields to quickly build high‑performance models for specialized applications."
34,What is early stopping?,Early stopping halts training when validation performance stops improving to prevent overfitting.,"Early stopping is a regularization technique used during training of machine learning models, especially neural networks. It monitors a performance metric (typically validation loss or accuracy) on a held‑out set and halts training when that metric stops improving for a predefined number of epochs, called the patience. By stopping before the model overfits the training data, it often yields better generalization. The saved checkpoint is usually the one with the best validation performance."
35,What is hyperparameter tuning?,"Hyperparameter tuning searches for the best set of model configuration parameters (e.g., learning rate, batch size) often using grid search or Bayesian optimization.","Hyperparameter tuning is the process of selecting the best configuration of a machine‑learning model’s external settings—such as learning rate, number of trees, or regularization strength—before training. Unlike model parameters learned from data, hyperparameters control the learning algorithm itself and must be set manually or via automated search. Common strategies include grid search, random search, and Bayesian optimization, which evaluate many candidate settings on a validation set to find the combination that yields the best performance. The goal is to improve generalization while keeping training time and computational cost reasonable."
36,What is model calibration?,Model calibration assesses and adjusts the alignment between predicted probabilities and observed outcome frequencies.,"Model calibration is the process of adjusting a predictive model so that its output probabilities reflect true outcome frequencies. For example, if a model predicts a 70 % chance of rain on many days, it should actually rain about 70 % of those days for the model to be well‑calibrated. Calibration can be assessed with tools like reliability diagrams or the Brier score, and improved using techniques such as Platt scaling or isotonic regression. Good calibration is especially important in risk‑sensitive applications where decision thresholds depend on accurate probability estimates."
37,What is a confusion matrix?,"A confusion matrix tabulates true vs predicted class counts (TP, FP, TN, FN) to analyze classifier performance.","A confusion matrix is a tabular summary used to evaluate the performance of a classification model. It lists the counts of predictions versus actual labels, typically arranged with predicted classes as columns and true classes as rows. The four key entries are true positives, false positives, true negatives, and false negatives, which allow calculation of metrics such as accuracy, precision, recall, and F1‑score. By inspecting the matrix, you can see where the model is misclassifying and assess its strengths and weaknesses across classes."
38,What is a precision-recall curve?,"A precision-recall curve shows precision vs recall across thresholds, useful for evaluating models on imbalanced datasets.","A precision‑recall curve plots the trade‑off between **precision** (the fraction of predicted positives that are true positives) and **recall** (the fraction of actual positives that are correctly identified) as the decision threshold of a classifier is varied. Each point on the curve corresponds to a different threshold, showing how precision drops as recall rises (or vice versa). It is especially useful for imbalanced datasets where the ROC curve can be overly optimistic, because it focuses on the performance for the minority (positive) class. The area under the precision‑recall curve (AUPRC) is often used as a single‑number summary of model quality in such settings."
39,What is class imbalance and how to handle it?,"Class imbalance occurs when some classes are much less frequent; handle with resampling, class weighting, or synthetic data generation like SMOTE.","Class imbalance occurs when the classes in a classification dataset are not represented equally, e.g., 95 % of samples belong to one class and only 5 % to another. It can bias learning algorithms toward the majority class, leading to poor minority‑class performance. Common remedies include resampling (oversample the minority class with SMOTE or duplicate samples, or undersample the majority class), using class‑weighting or cost‑sensitive learning, and employing algorithms robust to imbalance such as ensemble methods (e.g., BalancedBagging, AdaBoost with class weights). Additionally, evaluating with metrics that reflect imbalance—precision‑recall curves, F1‑score, or area under the precision‑recall curve—helps gauge true performance."
40,What is SMOTE?,SMOTE (Synthetic Minority Over-sampling Technique) generates synthetic examples of the minority class by interpolating between minority samples and their neighbors.,"SMOTE (Synthetic Minority Over‑Sampling Technique) is a data‑augmentation method used to balance imbalanced classification datasets. It creates synthetic examples of the minority class by selecting a minority instance, finding its k nearest minority neighbors, and interpolating new points along the line segments that connect them. This increases the minority class size without simply duplicating existing records, helping classifiers learn more robust decision boundaries. The technique is widely used in fields such as fraud detection, medical diagnosis, and any domain where minority classes are under‑represented."
41,What is feature selection?,Feature selection identifies the most relevant input features to improve model performance and reduce complexity.,"Feature selection is the process of identifying and retaining the most informative variables (features) from a dataset while discarding irrelevant or redundant ones. It reduces dimensionality, improves model interpretability, speeds up training, and can enhance predictive performance by mitigating overfitting. Common techniques include filter methods (e.g., correlation, mutual information), wrapper methods (e.g., recursive feature elimination), and embedded methods (e.g., L1‑regularized models). By selecting a subset of features, models become simpler, faster, and often more robust to noise."
42,What is PCA used for?,PCA reduces dimensionality by projecting data onto principal components that capture maximum variance.,"Principal Component Analysis (PCA) is a statistical technique used to reduce the dimensionality of large datasets while preserving as much variance as possible. It transforms the original variables into a new set of orthogonal components (principal components) ordered by the amount of variance they explain. PCA is commonly applied for noise reduction, data compression, and improving the efficiency of downstream machine‑learning algorithms. It also aids in visualizing high‑dimensional data by projecting it onto two or three principal components."
43,What is an ROC curve?,An ROC curve plots true positive rate vs false positive rate across thresholds to evaluate classifier discrimination.,"An ROC (Receiver Operating Characteristic) curve plots a classifier’s performance across all possible decision thresholds. It shows the trade‑off between the true positive rate (sensitivity) on the y‑axis and the false positive rate (1 – specificity) on the x‑axis. Each point on the curve corresponds to a different threshold value; the curve is generated by varying that threshold from 0 to 1. A perfect classifier would reach the top‑left corner (TPR = 1, FPR = 0), while a random guess yields the diagonal line y = x. The area under the ROC curve (AUC) summarizes overall discriminative ability, with 1.0 being perfect and 0.5 equivalent to random chance."
44,What is A/B testing in ML?,A/B testing compares two models or feature variants in production by randomizing user traffic and measuring key metrics to determine which performs better.,"A/B testing in machine learning is a controlled experiment where two or more variants—such as different models, feature sets, or preprocessing pipelines—are run in parallel on the same data or user population. Each variant receives a random portion of the traffic or data, and key metrics (accuracy, precision, latency, revenue, etc.) are collected. By statistically comparing these metrics, you can determine whether one variant outperforms the others and make evidence‑based decisions about model deployment or feature changes. It’s essentially the ML equivalent of a randomized controlled trial, ensuring that improvements are real and not due to chance."
45,What is explainability?,"Explainability provides human-understandable reasons for model predictions using methods like feature importance, LIME, or SHAP.","Explainability in machine learning refers to the ability to understand and interpret how a model arrives at its predictions or decisions. It involves revealing which inputs or features most influence the output, and why certain patterns are recognized. Explainable models help build trust, satisfy regulatory requirements, and enable debugging or improvement of the system. Techniques include interpretable model choices (e.g., linear models, decision trees), post‑hoc explanations (e.g., SHAP, LIME), and visualizations of internal representations."
46,What is SHAP?,SHAP assigns feature attributions based on game-theoretic Shapley values to explain individual predictions.,"SHAP (SHapley Additive exPlanations) is a unified framework for interpreting machine‑learning predictions. It assigns each feature a contribution value based on Shapley values from cooperative game theory, ensuring that the sum of contributions equals the model’s output. SHAP works with any model type (tree, linear, deep learning) and provides both global and local explanations. It is popular because it offers consistent, additive explanations that are theoretically grounded and relatively fast to compute for many models."
47,What is LIME?,LIME explains individual predictions by fitting local interpretable models around the instance to approximate the complex model's behavior.,"LIME (Local Interpretable Model‑agnostic Explanations) is a post‑hoc interpretability method that explains individual predictions of any black‑box model. It perturbs the input data around a specific instance, records the model’s predictions on these perturbed samples, and then fits a simple, interpretable surrogate model (e.g., linear regression or decision tree) to approximate the black‑box behavior locally. The surrogate’s coefficients or structure reveal which features most influence that particular prediction. LIME is model‑agnostic, works with tabular, text, and image data, and is widely used to provide human‑readable explanations for complex machine‑learning systems."
48,What is a learning curve?,A learning curve plots model performance versus training set size to diagnose underfitting or overfitting and estimate benefits from more data.,"A learning curve is a visual representation of how quickly someone or a system acquires new skills or knowledge over time. It typically plots performance (e.g., accuracy, speed, error rate) on the vertical axis against experience or time on the horizontal axis. The shape of the curve shows the rate of improvement: a steep rise indicates rapid learning, while a plateau suggests diminishing returns. In machine learning, learning curves help diagnose issues like overfitting or underfitting by comparing training and validation performance as data size or epochs increase."
49,What is ensemble voting?,Voting ensembles combine multiple model predictions by majority vote (hard) or averaging probabilities (soft) to improve robustness.,"Ensemble voting is a technique in which multiple predictive models (the ensemble) are combined by letting each model “vote” on the final prediction.  
In **majority voting**, each model casts a single vote for a class and the class with the most votes wins.  
**Weighted voting** assigns a weight to each model’s vote, often based on its accuracy, so that more reliable models influence the outcome more strongly.  
The method is simple, model‑agnostic, and often improves accuracy by reducing individual model errors."
50,What is causality vs correlation?,Correlation measures statistical association; causality indicates that a change in one variable produces a change in another and requires causal inference or controlled experiments.,"Correlation means two variables tend to vary together, but it does not imply that one causes the other. Causality (or causal inference) asserts that a change in one variable directly produces a change in another, often supported by controlled experiments or strong theoretical justification. For example, ice cream sales and drowning incidents are correlated, yet buying ice cream does not cause drowning; the common cause is hot weather. In contrast, smoking causes lung cancer because biological mechanisms and experimental evidence link the two. Thus, correlation is a statistical association, while causality is a directional, mechanistic relationship."
