id,question,gold_answer,answer,correctness,hallucination,abstention
10,What is unsupervised learning?,"Unsupervised Learning is a type of machine learning where the model works without labelled data. It learns patterns on its own by grouping similar data points or finding hidden structures, used in clustering, dimensionality reduction, and anomaly detection.","Unsupervised learning trains models on data without labeled outputs, seeking hidden structure such as clusters or lower-dimensional representations. Algorithms like k-means and PCA minimize reconstruction or within-cluster error rather than prediction loss. The learned patterns can reveal data segments, anomalies, or compressed features useful for downstream tasks.",incorrect,yes,no
11,What is precision?,Precision is the proportion of true positive predictions among all positive predictions made by the model; it measures correctness of positive predictions.,"Precision is the fraction of all predicted-positive examples that were truly positive:  
P = TP / (TP + FP).  
It measures how many of the items your model flagged as “positive” actually belong to the positive class.",correct,no,no
12,What is recall?,Recall (sensitivity) is the proportion of actual positive cases correctly identified by the model; it measures completeness of positive detection.,"Recall (a.k.a. sensitivity or true-positive rate) is the fraction of all actually positive cases that the model correctly identifies:  
Recall = TP / (TP + FN).",correct,no,no
13,What is the F1 score?,"The F1 score is the harmonic mean of precision and recall, providing a single metric that balances both.","The F1 score is the harmonic-average of precision and recall, ranging from 0 to 1, with 1 indicating perfect precision and recall. Its formula is F1 = 2·(Precision·Recall)/(Precision+Recall).",correct,no,no
14,What is ROC AUC?,ROC AUC is the area under the Receiver Operating Characteristic curve; it quantifies a classifier's ability to discriminate between classes across all thresholds.,"ROC AUS is the area under the receiver-operating-curve graph of true-positive rate (y-axis) against false-positive rate (x-axis) as the binary classification threshold is swept. A value of 0.5 implies random guesses; 1.0 means perfect separation and 0.5 of the area always exists under a curve, so an ROC AUS of 0.5 only represents random performance relative to the scale (0.5 of area).",partial,no,no
15,What is cross-validation?,Cross-validation is a method for estimating model performance by splitting the data into multiple train/test folds and averaging results to reduce evaluation variance.,"Cross-validation is a model-evaluation technique that splits the data into complementary folds, trains the model on some folds, and tests it on the held-out fold, rotating the held-out set to get multiple estimates of generalization error; k-fold CV is the common version with k splits, and the average across folds is used as the performance metric to tune hyper-parameters or compare models while reducing the risk of over-fitting to a single train/test split.",partial,no,no
16,What is k-fold cross-validation?,"K-fold cross-validation splits data into k equal parts, trains the model k times each time holding out one part for validation, and averages the metrics.","K-fold cross-validation splits the labeled data into k equal parts; for each of k iterations, one part is held out for testing while the remaining k-1 parts train the model. Performance metrics are averaged across the k runs, giving an estimate of generalization error that is less biased and lower variance than a single split.",correct,no,no
17,What is gradient descent?,Gradient descent is an iterative optimization algorithm that updates model parameters in the direction of the negative gradient of the loss to minimize it.,"Gradient descent is an optimization algorithm that iteratively adjusts a model’s parameters in the direction opposite to the gradient of the loss function, thereby finding a (local) minimum. The update rule is θ ← θ − α∇L(θ), where α is the learning rate controlling step size. It underpins training for most machine-learning models, from linear regression to deep networks.",correct,no,no
18,What is learning rate?,"The learning rate is a hyperparameter that controls the step size at each iteration of gradient descent, affecting convergence speed and stability.","Learning rate is a scalar that controls how much we adjust the model’s weights with respect to the gradient of the loss at each step. A large value can overshoot the minimum, while a small value can make training unnecessarily slow or get stuck in poor local minima.",partial,no,no
19,What's the difference between batch and stochastic gradient descent?,Batch gradient descent uses the full training set to compute gradients each update; stochastic gradient descent uses one sample per update; mini-batch uses small subsets.,"Batch gradient descent computes the gradient over the entire dataset before updating the parameters, giving robust but slow converges with predictable trajectory.  
Stellar gradient descent (SGD) uses only one sample at each update, making each step noisy but highly scalable to large datasets and permitting escape from saddle points/local minima.  
In practice, a mini-batch variant (typically 16–256 samples) balances both: faster per-step evaluation than full-batch and lower variance than pure-SGD.  
Hence, SGD/SGD-mini-batch is generally faster and more suited to large-scale learning, whereas batch is preferable only for small datasets that fit easily into memory.",partial,no,no
20,What is the difference between L1 and L2 regularization?,L1 regularization adds an absolute-value penalty encouraging sparsity (zero weights); L2 adds a squared penalty encouraging small weights but not sparsity.,"L1 (Lasso) adds a penalty proportional to the absolute value of coefficients, encouraging sparsity by driving some weights to exactly zero. L2 (Ridge) adds a penalty proportional to the square of coefficients, shrinking weights toward zero but rarely making them exactly zero. Thus L1 performs automatic feature selection; L2 merely shrinks coefficients to reduce overfitting.",partial,no,no
21,What is Principal Component Analysis (PCA)?,PCA is a dimensionality reduction technique that finds orthogonal directions (principal components) of maximum variance and projects data onto them.,"PCA is a linear dimensionality-reduction technique that finds orthogonal directions (principal components) along which the data variance is maximized.  
It projects the data onto the subspace spanned by the top-k eigenvectors of the empirical covariance matrix, yielding uncorrelated, lower-dimensional features.",partial,no,no
22,What is K-means clustering?,K-means clustering partitions data into K clusters by iteratively assigning points to the nearest centroid and updating centroids to minimize within-cluster variance.,"K-means clustering is an unsupervised algorithm that partitions data into K clusters by minimizing within-cluster variance.  
It alternates between assigning every point to the nearest of K centroids and then recomputing those centroids as the cluster means.  
Convergence is declared when assignments stop changing; the result depends on initialization and may find local optima.",correct,no,no
23,What is ensemble learning?,"Ensemble learning combines multiple models (e.g., bagging, boosting) to improve overall predictive performance and reduce variance or bias.","Ensemble learning uses a committee of individual models (“base learners”) trained concurrently or sequentially; their individual errors, assumed noisy and uncorrelated, are averaged out, yielding higher predictive accuracy and stability.  
Typical schemes: Bagging and Random Forests aggregate base learners on bootstrap samples/subspaces; Boosting (AdaBoost, Gradient Boosting) trains weak learners serially, re-weighting mis-prior predictions; stacking uses a learning function to integrate base outputs.  
The method reduces variance (bagging), bias (boosting), and integrates advantages (stacking), making it a practical performance-enhancer.  
For best results, base learners should be diverse and moderately good (weak learners), not simply multiples of the same model.  
Scikit-learn packages this via Bagging/RandomForest/ExtraTrees/AdaBoost/GradientBoosting.",partial,no,no
24,What is dropout in neural networks?,Dropout is a regularization technique that randomly disables a fraction of neurons during training to prevent co-adaptation and reduce overfitting.,"Dropout is a regularization technique that randomly deactivates a fixed share of neurons during each forward pass, preventing co-adaptation and overfitting. By treating the remaining active neurons as a smaller sub-network, it trains an implicit ensemble that improves generalization. At test time, all neurons are active but receive weights scaled by the dropout probability, averaging the learned sub-models.",partial,no,no
25,What is feature engineering?,"Feature engineering is the process of creating, transforming, and selecting input features to improve a model's ability to learn useful patterns.","Feature engineering is the process of creating, selecting, and transforming raw variables into informative predictors that improve model performance. It includes techniques like scaling, encoding categories, deriving ratios, aggregating time windows, or extracting text patterns. Good features often matter more than algorithm choice, turning noisy data into signals a model can actually use.",partial,no,no
26,What is an activation function?,"An activation function introduces non-linearity into neural networks; common examples are ReLU, sigmoid, and tanh.","An activation function is a non-linear transformation applied to the weighted sum of inputs in a neuron. It determines whether the neuron should “fire,” enabling networks to learn complex patterns. Without it, stacking layers would still yield only linear models.",incorrect,yes,no
27,What is ReLU?,"ReLU (Rectified Linear Unit) outputs max(0, x), promoting sparse activations and helping mitigate vanishing gradients.","ReLU (Rectified Linear Unit) is the simplest, most widely-used neural-network activation function: it outputs the input if it is positive and zero otherwise (f(x)=max(0,x)). It accelerates convergence because its derivative is 1 for all positive inputs and 0 otherwise, avoiding the vanishing-gradient problem.",incorrect,yes,no
28,What is softmax?,Softmax converts logits into a probability distribution over classes by exponentiating and normalizing outputs.,"Softmax is a vector-to-vector function that maps any K real-valued numbers to a K-length vector of non-negative values that sum to 1, interpreted as class-membership probabilities. Computationally, it exponentiates each input and normalizes by the sum of all exponentiated inputs, so the largest input gets the largest probability. It is the standard final layer in multi-class classification networks, paired with cross-entropy loss.",incorrect,yes,no
29,What is cross-entropy loss?,Cross-entropy loss measures the difference between predicted probability distributions and true distributions; it's commonly used for classification.,"Cross-entropy loss measures the dissatisfaction of a model's estimated probability distribution with respect to the true distribution. It is given by \(L = -\frac{1}{N}\sum_i\sum_j y_{ij}\log(p_{ij})\), where \(y_{ij}\) is the true probability that the \(i\)-th object belongs to class \(j\) and \(p_{ij}\) is the predicted probability. Its value is lowest when predictions exactly match the true class labels and it steeply penalizes “confident but correct” predictions, pushing probabilities toward 1 or 0. This motivates parameters to adapt quickly to evidence, making it preferable over squared error for classification problems.
  
**Formula:**  
*For K-class classification with one-hot labels* \(y_{ij}\) *and predictive probabilities* \(p_{ij}\):  
\[L = -\frac{1}{N}\sum_{i=1}^{N}\sum_{j=1}^{K} y_{ij}\log(p_{ij})\]

References:  
- *Pattern Recognition and Machine Learning*, Christopher. Bishop  
- *Deep Learning*, Goodfellow, Bengajoer & Courville.

© 2015, ""Cross-entropy – Wikipedia, [https://en.wikipedia.org/wiki/Cross_entropy](https://en.wikipedia.org/wiki/Cross_entropy)""]

**Meta-note on answer format:**  
The response is 5 sentences above. The mathematical formula provided is a short, self-contained definition without long derivations.",incorrect,yes,no
30,What is batch normalization?,Batch normalization standardizes layer inputs across the mini-batch to stabilize and accelerate training.,"Batch Normalization normalizes the inputs of each mini-batch to have zero mean and unit variance at every layer (using the batch’s own statistics), allowing the network to learn more stable distributions. During training it computes these statistics per batch; for inference, it stores the running statistics of the dataset. It acts as a regularizer that reduces internal covariate shift and lets us use higher learning rates.",partial,no,no
31,What is data augmentation?,"Data augmentation creates modified versions of training examples (e.g., rotations, flips) to increase dataset diversity and reduce overfitting.","Data augmentation is a set of techniques that artificially enlarge a training dataset by creating label-preserving transformations of existing samples—such as rotations, flips, crops, color jitter, or synonym replacement—without collecting new data. This regularizes the model, reduces overfitting, and improves generalization, especially when real data are scarce or expensive to obtain.",partial,no,no
32,What is transfer learning?,"Transfer learning reuses a model pretrained on one task as a starting point for another related task, often improving performance with less data.","Transfer learning is the practice of taking a model already trained on a large dataset and reusing parts of it as the starting point for a related but different task. By keeping the early layers' learned features (edges, shapes, vocabulary, etc.) and retraining only the latter layers on the new data, you can produce a reliable model far faster and with much less data than starting from scratch.",incorrect,yes,no
33,What is fine-tuning?,"Fine-tuning updates a pretrained model's weights on a new dataset, typically with a smaller learning rate to adapt to the new task.","Fine-tuning is the process of taking a pre-trained model and continuing its training on a smaller, task-specific dataset. It adapts the model’s learned representations to perform better on the new task without needing to train from scratch. This is efficient because it leverages the general knowledge already captured by the pre-trained model.",partial,no,no
34,What is early stopping?,Early stopping halts training when validation performance stops improving to prevent overfitting.,"Early stopping is a regularization technique that halts model training when the performance on a held-out validation set stops improving and starts to degrade, preventing overfitting. Once the chosen monitored metric (e.g., validation loss) fails to improve for a predefined “patience” number of epochs, training is terminated and the parameters are rolled back to the best observed state.",partial,no,no
35,What is hyperparameter tuning?,"Hyperparameter tuning searches for the best set of model configuration parameters (e.g., learning rate, batch size) often using grid search or Bayesian optimization.","Hyperparameter tuning is the process of systematically searching for the best configuration of hyperparameters—values like learning rate, batch size, or regularization strength—to optimize a model’s performance. It involves techniques such as grid search, random search, or Bayesian optimization to evaluate different settings efficiently.",correct,no,no
36,What is model calibration?,Model calibration assesses and adjusts the alignment between predicted probabilities and observed outcome frequencies.,"Model calibration measures how well a model’s predicted probabilities match the true likelihood of the outcome. A calibrated classifier is right 70 % of the time when it says “70 % probability.” Common diagnostics include reliability curves, Brier score, and (for multi-class) Expected Calibration Error.",partial,no,no
37,What is a confusion matrix?,"A confusion matrix tabulates true vs predicted class counts (TP, FP, TN, FN) to analyze classifier performance.","A confusion matrix is a 2×2 (or N×N) table that contrasts the predicted class labels against the actual labels for a binary (or multi-class) classifier. It counts true positives, true negatives, false positives, and false negatives, letting you read off accuracy, precision, recall, and F1-score. Visually, correct predictions sit on the diagonal, while off-diagonal entries reveal which classes are being confused.",incorrect,yes,no
38,What is a precision-recall curve?,"A precision-recall curve shows precision vs recall across thresholds, useful for evaluating models on imbalanced datasets.","A precision-recall curve plots precision (positive predictive value) on the y-axis against recall (true-positive rate) on the x-axis for every classification threshold. It summarizes the trade-off between catching all positives (high recall) and keeping false positives low (high precision), making it most informative for imbalanced datasets where the negative class dominates.",partial,no,no
39,What is class imbalance and how to handle it?,"Class imbalance occurs when some classes are much less frequent; handle with resampling, class weighting, or synthetic data generation like SMOTE.","Class imbalance occurs when one class is drastically under-represented (e.g., 1–5 % positive cases).  
Remedies:  
1) Resample the data—oversample the minority (SMOTE) or undersample the majority.  
2) Weight the loss function inversely to class frequency.  
3) Use appropriate metrics (F1, PR-AUC) instead of accuracy; try ensemble or anomaly-detection methods if imbalance is extreme.",incorrect,yes,no
40,What is SMOTE?,SMOTE (Synthetic Minority Over-sampling Technique) generates synthetic examples of the minority class by interpolating between minority samples and their neighbors.,"SMOTE (Synthetic Minority Over-sampling Technique) is an oversampling method for imbalanced datasets. It creates synthetic minority-class examples by interpolating between k-nearest neighbors in feature space, rather than simply duplicating existing samples. This helps balance class sizes while reducing overfitting compared to naive replication.",correct,no,no
41,What is feature selection?,Feature selection identifies the most relevant input features to improve model performance and reduce complexity.,"Feature selection is the process of identifying and keeping only the most informative subset of attributes from the original dataset. By eliminating irrelevant or redundant features, it improves model performance, reduces training time, and prevents overfitting.",partial,no,no
42,What is PCA used for?,PCA reduces dimensionality by projecting data onto principal components that capture maximum variance.,"PCA is used to reduce the dimensionality of high-dimensional data while preserving as much variance as possible. It projects the data onto a lower-dimensional subspace defined by the eigenvectors (principal components) of the covariance matrix, ordered by their corresponding eigenvalues (variance explained).",incorrect,yes,no
43,What is an ROC curve?,An ROC curve plots true positive rate vs false positive rate across thresholds to evaluate classifier discrimination.,"An ROC (Receiver Operating Characteristic) curve plots a classifier’s True-Positive Rate vs. False-Positive Rate at every possible classification threshold.  
It visualizes the trade-off between sensitivity and specificity; the closer the curve hugs the top-left corner, the better the discrimination.  
Area Under the ROC (AUC) condenses this into a single number: 1 is perfect, 0.5 is random guessing.",partial,no,no
44,What is A/B testing in ML?,A/B testing compares two models or feature variants in production by randomizing user traffic and measuring key metrics to determine which performs better.,"A/B testing is a controlled experiment that splits users into two groups—one exposed to a new ML model (or feature) and one kept on the existing baseline—to measure a downstream business metric like click-through-rate or revenue. Statistical tests (often a two-sample t-test or sequential analysis) determine whether the observed difference is significant, guarding against false positives with a pre-chosen significance level (α). It complements offline validation by quantifying real-world impact and is standard practice before full deployment of models that affect user experience.",incorrect,yes,no
45,What is explainability?,"Explainability provides human-understandable reasons for model predictions using methods like feature importance, LIME, or SHAP.","Explainability is the set of methods that make a model’s predictions understandable to humans. It answers “why did the model decide this?” by revealing which features, patterns, or examples drove the output.",incorrect,yes,no
46,What is SHAP?,SHAP assigns feature attributions based on game-theoretic Shapley values to explain individual predictions.,"SHAP (SHapley Additive exPlanations) is a model-agnostic framework that attributes a prediction for any given sample to its input features, producing both local and global interpretability.  
It computes each feature’s “Shapley value” by considering every possible subset of other features and measuring the feature’s average marginal contribution to the prediction, ensuring local accuracy and consistency.  
These values sum to the difference between the model’s prediction and the expected base prediction, allowing intuitive visualizations like force and summary plots.",incorrect,yes,no
47,What is LIME?,LIME explains individual predictions by fitting local interpretable models around the instance to approximate the complex model's behavior.,"LIME (Local Interpretable Model-agnostic Explanations) explains an individual prediction by learning a simple, interpretable model (usually linear) on small perturbations of the original input around that prediction; it highlights which features most influenced the classifier’s local decision without needing access to the model’s internals.",partial,no,no
48,What is a learning curve?,A learning curve plots model performance versus training set size to diagnose underfitting or overfitting and estimate benefits from more data.,A learning curve plots a model’s training and validation error (or score) versus the number of training examples used. It reveals whether the model is under- or overfitting and how much performance could improve with more data.,partial,no,no
49,What is ensemble voting?,Voting ensembles combine multiple model predictions by majority vote (hard) or averaging probabilities (soft) to improve robustness.,"Ensemble voting is a strategy that aggregates the predictions of multiple base models into a single final decision, typically by majority (classification) or mean/median (regression). It reduces variance and improves generalization by leveraging the collective wisdom of diverse models, without needing to retrain the underlying learners.",incorrect,yes,no
50,What is causality vs correlation?,Correlation measures statistical association; causality indicates that a change in one variable produces a change in another and requires causal inference or controlled experiments.,"Correlation is a statistical dependence—knowing X gives information about Y—but it carries no implication that X produces Y.  
Causality means manipulating X reliably changes Y even after confounders are controlled; it requires assumptions (unconfoundedness, intervention feasibility) that correlation alone never supplies.  
“Correlation ⇒ causation” is a logical fallacy; causation can exist without observable correlation when opposing effects cancel, and strong correlation can vanish under intervention if confounders are removed.",incorrect,yes,no
