question,gold,answer,acc_sim,hallucination,sentence_coverage,concept_overlap,retrieval_confidence,final_trust
What is a precision-recall curve?,"A precision-recall curve shows precision vs recall across thresholds, useful for evaluating models on imbalanced datasets.","The F1 Score is the harmonic mean of precision and recall. It is useful when we need a balance between precision and recall as it combines both into a single number. A high F1 score means the model performs well on both metrics. It can be expressed mathematically in this way: F1 Score=2 Precision+Recall/PrecisionRecall 5. Logarithmic Loss (Log Loss) Log loss measures the uncertainty of the model’s predictions. It is calculated by penalizing the model for assigning low probabilities to the correct classes. This metric is used in multi-class classification and is helpful when we want to assess a model’s confidence in its predictions. If there are N samples belonging to the M class, then we calculate the Log loss in this way: 6. Area Under Curve (AUC) and ROC Curve I (incorrectly predicted positive cases) TN = True Negatives (correctly predicted negative cases) 5. ROC Curve It is a graphical representation of the True Positive Rate (TPR) vs the False Positive Rate (FPR) at different classification thresholds. The curve helps us visualize the trade-offs between sensitivity (TPR) and specificity (1 - FPR) across various thresholds. Area Under Curve (AUC) quantifies the overall ability of the model to distinguish between positive and",0.5489110946655273,0.9199083,0.4166666666666667,0.9873417721518988,0.5628355138497622,0.7540236622309072
What is class imbalance and how to handle it?,"Class imbalance occurs when some classes are much less frequent; handle with resampling, class weighting, or synthetic data generation like SMOTE.","I do not have sufficient information to answer the question. While accuracy provides a quick snapshot, it can be misleading in cases of imbalanced datasets. For example, in a dataset with 90% class A and 10% class B, a model predicting only class A will still achieve 90% accuracy but it will fail to identify any class B instances. While accuracy provides a quick snapshot, it can be misleading in cases of imbalanced datasets. For example, in a dataset with 90% class A and 10% class B, a model predicting only class A will still achieve 90% accuracy but it will fail to identify any class B instances. While accuracy provides a quick snapshot, it can be misleading in cases of imbalanced datasets. For example, in a dataset with 90% class A and 10% class B, a model predicting only class A will still achieve 90% accuracy but it will fail to identify any class B instances. While accuracy provides a quick snapshot, it can be misleading in cases of imbalanced datasets. For example, in a dataset with 90% class A and 10% class B, a model predicting only class A will still achieve 90% accuracy but it will fail to identify any class B instances. While accuracy provides a quick snapshot, it can be misleading in cases of imbalanced datasets. For example, in a dataset with 90% class A and 10% class B, a model predicting only class A will still achieve 90%",0.40491560101509094,0.69565415,0.0,0.8846153846153846,0.4911378525435619,0.5288554163341522
What is SMOTE?,SMOTE (Synthetic Minority Over-sampling Technique) generates synthetic examples of the minority class by interpolating between minority samples and their neighbors.,I do not have sufficient information to answer the question.,0.10986149311065674,0.1604669,0.0,0.2,0.38837146047039633,0.1624424768735227
What is feature selection?,Feature selection identifies the most relevant input features to improve model performance and reduce complexity.,I do not have sufficient information to answer the question.,0.004295419901609421,0.05841677,0.0,0.2,0.4395562752642701,0.1293001488530408
What is PCA used for?,PCA reduces dimensionality by projecting data onto principal components that capture maximum variance.,I do not have sufficient information to answer the question.,0.03050961345434189,0.11744964,0.0,0.2,0.42285838607842197,0.1504086144028522
What is an ROC curve?,An ROC curve plots true positive rate vs false positive rate across thresholds to evaluate classifier discrimination.,"It is a graphical representation of the True Positive Rate (TPR) vs the False Positive Rate (FPR) at different classification thresholds. The curve helps us visualize the trade-offs between sensitivity (TPR) and specificity (1 - FPR) across various thresholds. Area Under Curve (AUC) quantifies the overall ability of the model to distinguish between positive and negative classes. AUC = 1: Perfect model (always correctly classifies positives and negatives). AUC = 0.5: Model performs no better than random guessing. AUC  0.5: Model performs worse than random guessing (showing that the model is inverted). ROC Curve for Evaluation of Classification Models ROC Curve for Evaluation of Classification Models 6. Confusion Matrix Confusion matrix creates a N X N matrix, where N is the number of classes or categories that are to be predicted. Here we have N = 2, so we get a 2 X 2 matrix. Suppose there is a problem with our practice which is a binary classification. Samples of that classification belong to either Yes or No. So, we build our classifier which will predict the class for the new input sample. Samples of that classification belong to either Yes or No. So, we test our classifier which will predict the class for the new input sample",0.6878451108932495,0.87279224,0.07142857142857142,0.9859154929577465,0.5629390617335582,0.6485979982917337
What is A/B testing in ML?,A/B testing compares two models or feature variants in production by randomizing user traffic and measuring key metrics to determine which performs better.,I do not have sufficient information to answer the question.,0.04953080043196678,0.066815756,0.0,0.4,0.42954603736144714,0.17115820810875657
What is explainability?,"Explainability provides human-understandable reasons for model predictions using methods like feature importance, LIME, or SHAP.",Complex ML models can be difficult to understand which makes it difficult to explain why they make certain decisions. This can affect trust and accountability.,0.5413813591003418,0.61017144,0.0,1.0,0.4171042513009199,0.5066342126005335
What is SHAP?,SHAP assigns feature attributions based on game-theoretic Shapley values to explain individual predictions.,I do not have sufficient information to answer the question.,0.11605924367904663,0.04402833,0.0,0.2,0.3860084739008529,0.11551260332284843
What is LIME?,LIME explains individual predictions by fitting local interpretable models around the instance to approximate the complex model's behavior.,I do not have sufficient information to answer the question.,-0.02961171232163906,0.18047455,0.0,0.2,0.37173554058873537,0.16795015090108498
What is a learning curve?,A learning curve plots model performance versus training set size to diagnose underfitting or overfitting and estimate benefits from more data.,"During training, the machine adjusts its internal settings to better predict outcomes. It learns by reducing the difference between its predictions and actual results. Feedback Loop: Machine compares its predictions with true outcomes and uses this feedback to correct errors. Techniques like gradient descent help it update and improve. Experience and Iteration: Machine repeats training many times with data helps in refining its predictions with each pass, more data and iterations improve accuracy. Evaluation and Generalization: Model is tested on unseen data to ensure it performs well on real-world tasks. Machines ""learn"" by continuously increasing their understanding through data-driven iterations like how humans learn from experience.",0.4053856134414673,0.97768176,0.7142857142857143,1.0,0.5004136852984575,0.8447061837740341
What is ensemble voting?,Voting ensembles combine multiple model predictions by majority vote (hard) or averaging probabilities (soft) to improve robustness.,"Implement techniques like bagging or random forests to combine multiple models and balance bias–variance trade-offs. The bias–variance tradeoff refers to the balance between bias and variance in a machine learning model. High bias leads to underfitting, while high variance leads to overfitting. The objective is to choose a model complexity that minimizes total prediction error. n machine learning. www.machinelearning.net/ - 14k - Cached - Similar pages Introduction to Machine Learning This page has pointers to my draft book on Machine Learning and its individual chapters. They can be downloaded in Adobe Acrobat format. ... ai.stanford.edu/nilsson/mlbook.html - 15k - Cached - Similar pages machine learning Google Fig. 1.1. The 5 top scoring webpages for the query “machine learning” pages are relevant and which pages match the query. Such knowledge can be gained from several sources: the link structure of webpages, their content, the frequency with which users will follow the suggested links in a query, or from examples of queries in combination with manually ranked webpages. Increasingly machine learning rather than guesswork and clever engineering is used to automate the process of designing a good search e classifiers using Euclidean distances. Left: decision boundaries obtained from a 1-n",0.387654572725296,0.8160076,0.4166666666666667,0.9901960784313726,0.43147471462649845,0.6933301352012129
What is causality vs correlation?,Correlation measures statistical association; causality indicates that a change in one variable produces a change in another and requires causal inference or controlled experiments.,"eplace the integration with a summation: p(x) = X y p(x, y). (1.12) We say that X and Y are independent, i.e., the values that X takes does not depend on the values that Y takes whenever p(x, y) = p(x)p(y). (1.13) Independence is useful when it comes to dealing with large numbers of ran- dom variables whose behavior we want to estimate jointly. For instance, whenever we perform repeated measurements of a quantity, such as when 1.2 Probability Theory 17 -0.5 0.0 0.5 1.0 1.5 2.0 -0.5 0.0 0.5 1.0 1.5 2.0 -0.5 0.0 0.5 1.0 1.5 2.0 -0.5 0.0 0.5 1.0 1.5 2.0 -0.5 0.0 0.5 1.0 1.5 2.0 -0.5 0.0 0.5 1.0 1.5 2.0 -0.5 0.0 0.5 1.0 1.5 2.0 -0.5 0.0 0.5 1.0 1.5 2.0 -0.5 0.0 0.5 1.0 1.5 2.0 -0.5 0.0 0.5 1.0 1.5 2.0 -0.5 0.0 0.5 1.0 1.5 2.0 -0.5 0.0 0.5 1.0 1.5 2.0 -0.5 0.0 0.5 1.0 1.5 2.0 -0.5 0.0 0.5 1.0 1.5 2.0 -0.5 0.0 0.5 1.0",0.20652014017105103,0.91852623,0.25,1.0,0.4212192338422814,0.6930933779733759
