id,question,gold_answer,answer,correctness,hallucination,abstention
10,What is unsupervised learning?,"Unsupervised Learning is a type of machine learning where the model works without labelled data. It learns patterns on its own by grouping similar data points or finding hidden structures, used in clustering, dimensionality reduction, and anomaly detection.","Unsupervised learning is a type of machine learning where the algorithm is trained on unlabeled data, and it must find patterns, relationships, or structure within the data on its own. The goal is to identify clusters, anomalies, or hidden features without any prior knowledge of the correct output. This approach is often used for data exploration, dimensionality reduction, and clustering tasks.",correct,no,no
11,What is precision?,Precision is the proportion of true positive predictions among all positive predictions made by the model; it measures correctness of positive predictions.,"Precision is a measure of a model's accuracy in correctly identifying the positive class (true positives) among all the instances it predicts as positive. It is calculated as the number of true positives divided by the sum of true positives and false positives. Precision is a key metric in evaluating the performance of classification models, particularly in binary classification problems.",partial,no,no
12,What is recall?,Recall (sensitivity) is the proportion of actual positive cases correctly identified by the model; it measures completeness of positive detection.,"Recall is a measure of a model's ability to correctly identify all instances of a particular class or label in a dataset. It is calculated as the number of true positives (correctly predicted instances) divided by the sum of true positives and false negatives (missed instances). In other words, recall measures how well a model detects all relevant instances, without necessarily distinguishing between relevant and irrelevant instances.",partial,no,no
13,What is the F1 score?,"The F1 score is the harmonic mean of precision and recall, providing a single metric that balances both.","The F1 score is a metric used to evaluate the performance of a binary classification model. It is the harmonic mean of precision and recall, calculated as 2 * (precision * recall) / (precision + recall). The F1 score ranges from 0 to 1, where 1 is perfect accuracy and 0 is worst accuracy. It is particularly useful when the classes are imbalanced.",correct,no,no
14,What is ROC AUC?,ROC AUC is the area under the Receiver Operating Characteristic curve; it quantifies a classifier's ability to discriminate between classes across all thresholds.,"ROC AUC (Receiver Operating Characteristic Area Under the Curve) is a performance metric used in binary classification problems to evaluate the accuracy of a model. It plots the True Positive Rate (sensitivity) against the False Positive Rate (1 - specificity) at various threshold settings, and the area under the resulting curve represents the model's ability to distinguish between classes. A higher ROC AUC score indicates better model performance.",correct,no,no
15,What is cross-validation?,Cross-validation is a method for estimating model performance by splitting the data into multiple train/test folds and averaging results to reduce evaluation variance.,Cross-validation is a technique used in machine learning to evaluate the performance of a model by splitting the available data into training and testing sets. It involves repeatedly training and testing the model on different subsets of the data to get a more accurate estimate of its performance. This helps to prevent overfitting and provides a more robust evaluation of the model's generalizability.,partial,no,no
16,What is k-fold cross-validation?,"K-fold cross-validation splits data into k equal parts, trains the model k times each time holding out one part for validation, and averages the metrics.","K-fold cross-validation is a technique used to evaluate the performance of a machine learning model by splitting the available data into k subsets or folds. The model is trained on k-1 folds and tested on the remaining fold, and this process is repeated k times, with each fold being used as the test set once. This helps to reduce overfitting and provides a more accurate estimate of the model's performance on unseen data. The results are then averaged across all k iterations to obtain a final performance metric.",partial,no,no
17,What is gradient descent?,Gradient descent is an iterative optimization algorithm that updates model parameters in the direction of the negative gradient of the loss to minimize it.,"Gradient descent is an optimization algorithm used in machine learning to minimize the loss function of a model. It iteratively updates the model's parameters by moving in the direction of the negative gradient of the loss function, which points towards the minimum. This process continues until convergence or a stopping criterion is met. The goal is to find the optimal parameters that result in the lowest loss.",correct,no,no
18,What is learning rate?,"The learning rate is a hyperparameter that controls the step size at each iteration of gradient descent, affecting convergence speed and stability.","The learning rate is a hyperparameter in machine learning algorithms, particularly in optimization methods like stochastic gradient descent (SGD). It controls how quickly the model learns from the training data by determining the step size at each iteration. A high learning rate can lead to fast convergence but may cause overshooting, while a low learning rate can result in slow convergence but may improve stability.",correct,no,no
19,What's the difference between batch and stochastic gradient descent?,Batch gradient descent uses the full training set to compute gradients each update; stochastic gradient descent uses one sample per update; mini-batch uses small subsets.,"Batch gradient descent updates the model parameters using the entire training dataset at once, minimizing the average loss over the entire dataset. Stochastic gradient descent (SGD), on the other hand, updates the model parameters using a single training example at a time, minimizing the loss for that specific example. This results in faster convergence for SGD but may be more prone to oscillations.",incorrect,yes,no
20,What is the difference between L1 and L2 regularization?,L1 regularization adds an absolute-value penalty encouraging sparsity (zero weights); L2 adds a squared penalty encouraging small weights but not sparsity.,"L1 regularization, also known as Lasso regularization, adds a term to the loss function that is proportional to the absolute value of the model's weights. This encourages the model to set some weights to zero, effectively performing feature selection.

L2 regularization, also known as Ridge regularization, adds a term to the loss function that is proportional to the square of the model's weights. This discourages large weights, but does not set them to zero.",incorrect,yes,no
21,What is Principal Component Analysis (PCA)?,PCA is a dimensionality reduction technique that finds orthogonal directions (principal components) of maximum variance and projects data onto them.,"Principal Component Analysis (PCA) is a dimensionality reduction technique used in machine learning to transform high-dimensional data into lower-dimensional data while retaining most of the information. It does this by identifying the principal components, which are the directions of maximum variance in the data, and projecting the data onto these components. This results in a lower-dimensional representation of the data that is easier to visualize and analyze. PCA is often used for data preprocessing, feature extraction, and data visualization.",partial,no,no
22,What is K-means clustering?,K-means clustering partitions data into K clusters by iteratively assigning points to the nearest centroid and updating centroids to minimize within-cluster variance.,"K-means clustering is an unsupervised machine learning algorithm used for grouping similar data points into clusters based on their features. It works by initializing k centroids, then iteratively assigning each data point to the closest centroid and updating the centroids as the mean of the assigned points. This process is repeated until convergence or a stopping criterion is met. The goal is to identify distinct patterns or groups within the data.",partial,no,no
23,What is ensemble learning?,"Ensemble learning combines multiple models (e.g., bagging, boosting) to improve overall predictive performance and reduce variance or bias.","Ensemble learning is a machine learning technique that combines the predictions of multiple base models to improve the overall accuracy and robustness of the model. By training multiple models on the same dataset and combining their predictions, ensemble methods can reduce overfitting, improve generalization, and handle complex relationships in the data. Examples of ensemble methods include bagging, boosting, and stacking.",partial,no,no
24,What is dropout in neural networks?,Dropout is a regularization technique that randomly disables a fraction of neurons during training to prevent co-adaptation and reduce overfitting.,"Dropout is a regularization technique used in neural networks to prevent overfitting. It randomly drops out a fraction of neurons during training, effectively setting their output to zero. This forces the remaining neurons to learn multiple representations of the data, making the network more robust and less dependent on individual neurons. By doing so, dropout helps to prevent overfitting and improves the network's generalization performance.",partial,no,no
25,What is feature engineering?,"Feature engineering is the process of creating, transforming, and selecting input features to improve a model's ability to learn useful patterns.","Feature engineering is the process of selecting, transforming, and creating relevant features from raw data to improve the performance and accuracy of machine learning models. It involves identifying the most informative and relevant characteristics of the data that can help the model make predictions or classify instances. Effective feature engineering can significantly improve model performance, while poor feature engineering can lead to suboptimal results. It requires domain knowledge and understanding of the data.",correct,no,no
26,What is an activation function?,"An activation function introduces non-linearity into neural networks; common examples are ReLU, sigmoid, and tanh.","An activation function is a mathematical function used in neural networks to introduce non-linearity into the model, allowing it to learn and represent complex relationships between inputs and outputs. It takes the weighted sum of the inputs and outputs a value that determines whether the neuron should be activated or not. Common activation functions include sigmoid, ReLU (Rectified Linear Unit), and tanh. This non-linearity is crucial for the neural network to learn and represent complex patterns in the data.",partial,no,no
27,What is ReLU?,"ReLU (Rectified Linear Unit) outputs max(0, x), promoting sparse activations and helping mitigate vanishing gradients.","ReLU (Rectified Linear Unit) is a widely used activation function in neural networks. It maps all negative values to 0 and all positive values to the same value. This results in a ""rectified"" output, where the output is either 0 or a positive value. ReLU is simple, computationally efficient, and helps prevent the vanishing gradient problem.",incorrect,yes,no
28,What is softmax?,Softmax converts logits into a probability distribution over classes by exponentiating and normalizing outputs.,"Softmax is a mathematical function used in machine learning to normalize the output of a model, typically in multi-class classification problems. It takes a vector of real numbers as input and outputs a vector of values between 0 and 1, where the sum of the output values is 1. This allows the model to output a probability distribution over multiple classes, making it easier to interpret and use the output. Softmax is often used in conjunction with cross-entropy loss.",incorrect,yes,no
29,What is cross-entropy loss?,Cross-entropy loss measures the difference between predicted probability distributions and true distributions; it's commonly used for classification.,"Cross-entropy loss is a measure of the difference between predicted probabilities and actual labels in a classification problem. It is commonly used in binary and multi-class classification tasks, particularly in neural networks. The cross-entropy loss function calculates the average difference between the predicted probabilities and the true labels, with lower values indicating better model performance. It is often used in conjunction with the softmax activation function in the output layer.",partial,no,no
30,What is batch normalization?,Batch normalization standardizes layer inputs across the mini-batch to stabilize and accelerate training.,"Batch normalization is a technique used in deep learning to normalize the input data of each layer by subtracting the mean and dividing by the standard deviation of the mini-batch. This helps to stabilize the learning process, reduce internal covariate shift, and improve the training speed of neural networks. By normalizing the inputs, batch normalization allows the model to learn more robust and generalizable features. It is commonly used in conjunction with convolutional and recurrent neural networks.",correct,no,no
31,What is data augmentation?,"Data augmentation creates modified versions of training examples (e.g., rotations, flips) to increase dataset diversity and reduce overfitting.","Data augmentation is a technique used in machine learning to artificially increase the size of a training dataset by applying transformations to the existing data. This can include operations such as rotation, flipping, scaling, and cropping, which help to improve the model's robustness and generalizability to new, unseen data. By augmenting the data, the model learns to recognize patterns and features that are invariant to these transformations, leading to better performance on real-world data.",partial,no,no
32,What is transfer learning?,"Transfer learning reuses a model pretrained on one task as a starting point for another related task, often improving performance with less data.","Transfer learning is a machine learning technique where a pre-trained model is used as a starting point for a new task, rather than training a model from scratch. This approach leverages the knowledge and features learned from the pre-trained model on a related task, allowing the model to adapt and fine-tune for the new task with less data and computational resources. This technique is particularly useful when the new task has limited data or a similar domain to the pre-trained model.",partial,no,no
33,What is fine-tuning?,"Fine-tuning updates a pretrained model's weights on a new dataset, typically with a smaller learning rate to adapt to the new task.","Fine-tuning is a machine learning technique where a pre-trained model is adapted to a specific task or dataset by adjusting its weights and parameters. This is typically done by adding a new layer or modifying the existing architecture to suit the new task, and then training the model on the target dataset. Fine-tuning allows the model to leverage the knowledge it gained from the pre-training task and apply it to the new task, often resulting in faster convergence and better performance.",correct,no,no
34,What is early stopping?,Early stopping halts training when validation performance stops improving to prevent overfitting.,Early stopping is a technique used in machine learning to prevent overfitting by stopping the training process when the model's performance on a validation set starts to degrade. This is typically done by monitoring the model's performance on a validation set during training and stopping the training when the performance on the validation set starts to decrease. Early stopping helps to prevent the model from overfitting to the training data and improves its generalization to unseen data. It is commonly used in neural networks and other deep learning models.,partial,no,no
35,What is hyperparameter tuning?,"Hyperparameter tuning searches for the best set of model configuration parameters (e.g., learning rate, batch size) often using grid search or Bayesian optimization.","Hyperparameter tuning is the process of selecting the optimal values for the hyperparameters of a machine learning model. Hyperparameters are parameters that are set before training the model, such as learning rate, regularization strength, and number of hidden layers. The goal of hyperparameter tuning is to find the combination of hyperparameters that results in the best model performance, typically measured by metrics such as accuracy, precision, or F1 score. This process is often done using techniques like grid search, random search, or Bayesian optimization.",correct,no,no
36,What is model calibration?,Model calibration assesses and adjusts the alignment between predicted probabilities and observed outcome frequencies.,"Model calibration refers to the process of adjusting a machine learning model's predictions to match the true probabilities of the outcomes. It involves ensuring that the model's confidence in its predictions accurately reflects the likelihood of the predicted outcome occurring. Calibration is essential for making reliable decisions based on model outputs, as overconfident or underconfident predictions can lead to suboptimal results. Calibration metrics, such as Brier score or calibration plots, are used to evaluate a model's calibration.",incorrect,yes,no
37,What is a confusion matrix?,"A confusion matrix tabulates true vs predicted class counts (TP, FP, TN, FN) to analyze classifier performance.","A confusion matrix is a table used to evaluate the performance of a classification model by comparing its predicted output with the actual output. It displays the number of true positives, false positives, true negatives, and false negatives, providing insights into the model's accuracy, precision, and recall. The matrix helps in understanding the model's strengths and weaknesses, enabling adjustments to improve its performance. It is commonly used in binary classification problems.",incorrect,yes,no
38,What is a precision-recall curve?,"A precision-recall curve shows precision vs recall across thresholds, useful for evaluating models on imbalanced datasets.","A precision-recall curve is a graphical representation used in binary classification problems to evaluate the performance of a model. It plots the precision (true positives / (true positives + false positives)) against the recall (true positives / (true positives + false negatives)) at different thresholds. The curve helps to visualize the trade-off between precision and recall, allowing for the selection of the optimal operating point. It is particularly useful when the classes are imbalanced.",incorrect,yes,no
39,What is class imbalance and how to handle it?,"Class imbalance occurs when some classes are much less frequent; handle with resampling, class weighting, or synthetic data generation like SMOTE.","Class imbalance occurs when there is a significant difference in the number of instances between the majority class and the minority class in a classification problem. This can lead to biased models that perform poorly on the minority class. To handle class imbalance, techniques such as oversampling the minority class, undersampling the majority class, or using class weights can be applied. Additionally, methods like SMOTE (Synthetic Minority Over-sampling Technique) and ADASYN (Adaptive Synthetic Sampling) can be used to generate synthetic samples for the minority class.",partial,no,no
40,What is SMOTE?,SMOTE (Synthetic Minority Over-sampling Technique) generates synthetic examples of the minority class by interpolating between minority samples and their neighbors.,"SMOTE (Synthetic Minority Over-sampling Technique) is a technique used in machine learning to handle class imbalance problems. It creates synthetic samples of the minority class by interpolating between existing minority class instances, thereby increasing the number of minority class instances to match the number of majority class instances. This helps to improve the performance of machine learning models on minority class instances. SMOTE is particularly useful for binary classification problems.",correct,no,no
41,What is feature selection?,Feature selection identifies the most relevant input features to improve model performance and reduce complexity.,"Feature selection is a process in machine learning where relevant features are chosen from a larger set of available features to improve model performance, reduce overfitting, and enhance interpretability. The goal is to select a subset of the most informative and relevant features that contribute to the model's accuracy and generalizability. This can be done using various techniques, such as correlation analysis, mutual information, or recursive feature elimination.",correct,no,no
42,What is PCA used for?,PCA reduces dimensionality by projecting data onto principal components that capture maximum variance.,"Principal Component Analysis (PCA) is a dimensionality reduction technique used to transform high-dimensional data into lower-dimensional data while retaining most of the information. It is primarily used for data visualization, feature extraction, and noise reduction. PCA helps to identify the most important features or variables in a dataset by selecting the principal components that explain the maximum variance. This makes it useful for applications such as image compression, text analysis, and gene expression analysis.",incorrect,yes,no
43,What is an ROC curve?,An ROC curve plots true positive rate vs false positive rate across thresholds to evaluate classifier discrimination.,An ROC (Receiver Operating Characteristic) curve is a graphical representation used to evaluate the performance of a binary classifier. It plots the true positive rate (sensitivity) against the false positive rate (1 - specificity) at various threshold settings. The curve helps in determining the optimal threshold for classification and assessing the model's ability to distinguish between classes. A higher area under the ROC curve (AUC-ROC) indicates better classification performance.,partial,no,no
44,What is A/B testing in ML?,A/B testing compares two models or feature variants in production by randomizing user traffic and measuring key metrics to determine which performs better.,"A/B testing in ML is a method used to compare the performance of two or more machine learning models or versions of a model to determine which one performs better. It involves splitting a dataset into two groups, one for each model, and evaluating their performance on a common metric, such as accuracy or F1 score. This helps to identify the most effective model and make data-driven decisions. A/B testing can be used to compare different hyperparameters, model architectures, or even entire models.",partial,no,no
45,What is explainability?,"Explainability provides human-understandable reasons for model predictions using methods like feature importance, LIME, or SHAP.","Explainability in Machine Learning refers to the ability to provide insights into how a model makes predictions or decisions. It involves understanding the relationships between input features, model parameters, and output predictions. Explainability techniques, such as feature importance, partial dependence plots, and SHAP values, help to identify the most influential factors contributing to a model's predictions. This transparency is crucial for building trust in AI models and ensuring fairness and accountability.",incorrect,yes,no
46,What is SHAP?,SHAP assigns feature attributions based on game-theoretic Shapley values to explain individual predictions.,"SHAP (SHapley Additive exPlanations) is a technique used for explaining the output of machine learning models. It assigns a value to each feature in a dataset, indicating its contribution to the model's prediction. SHAP values are calculated using the Shapley values from cooperative game theory, allowing for a more accurate and interpretable understanding of model predictions. This helps in identifying the most influential features and their interactions.",incorrect,yes,no
47,What is LIME?,LIME explains individual predictions by fitting local interpretable models around the instance to approximate the complex model's behavior.,LIME stands for Local Interpretable Model-agnostic Explanations. It's a technique used to explain the predictions made by complex machine learning models. LIME generates an interpretable model locally around a specific instance (data point) to understand why the original model made a particular prediction. This helps in understanding the feature importance and contributing factors to the prediction.,correct,no,no
48,What is a learning curve?,A learning curve plots model performance versus training set size to diagnose underfitting or overfitting and estimate benefits from more data.,"A learning curve is a graphical representation of the relationship between the number of training examples and the model's performance or error rate. It shows how quickly a model learns from the data and improves its accuracy as it receives more training examples. A steep learning curve indicates rapid improvement, while a shallow curve suggests slow improvement.",incorrect,yes,no
49,What is ensemble voting?,Voting ensembles combine multiple model predictions by majority vote (hard) or averaging probabilities (soft) to improve robustness.,"Ensemble voting, also known as ensemble learning, is a machine learning technique that combines the predictions of multiple models to improve overall performance. Each model in the ensemble is trained on the same data, but with different parameters or subsets of features. The final prediction is made by voting on the output of each model, typically using a majority vote or weighted average. This approach can help reduce overfitting and improve the robustness of the model.",incorrect,yes,no
50,What is causality vs correlation?,Correlation measures statistical association; causality indicates that a change in one variable produces a change in another and requires causal inference or controlled experiments.,"Causality and correlation are two related but distinct concepts in statistics and machine learning. Correlation refers to the statistical relationship between two variables, indicating how they tend to move together. Causality, on the other hand, implies a direct cause-and-effect relationship between two variables, where one variable (the cause) leads to a change in the other variable (the effect). In other words, correlation does not necessarily imply causality.",incorrect,yes,no
